# t (s)	mx ()	my ()	mz ()	ext_bubbleposx (m)	ext_bubbleposy (m)	ext_bubbleposz (m)
0	4.7148205e-09	1.8626451e-09	-0.6603193	-5.0002097e-10	-4.9998283e-10	0
1.0000746010584817e-11	4.1909516e-09	5.5879354e-09	-0.6603071	-4.999981e-10	-4.9998666e-10	0
2.0029369723287818e-11	9.429641e-09	-1.8626451e-09	-0.6602759	-5.000267e-10	-5.0001336e-10	0
3.003060389287334e-11	1.9790605e-09	-3.7252903e-09	-0.6602324	-5e-10	-4.9991417e-10	0
4.0026685175604423e-11	-5.7043508e-09	0	-0.6601872	-4.999847e-10	-4.999199e-10	0
5.0026504013971254e-11	-1.5716068e-09	1.6763806e-08	-0.6601508	-4.9994087e-10	-4.999447e-10	0
6.001590215921443e-11	1.6239937e-08	9.313226e-09	-0.6601305	-4.999962e-10	-5.0000765e-10	0
7.000579726257614e-11	8.96398e-09	-7.450581e-09	-0.6601305	-4.999771e-10	-5.0001525e-10	0
8.00409493186208e-11	3.5506673e-09	-1.4901161e-08	-0.66015005	-4.999256e-10	-4.999523e-10	0
9.003303349455629e-11	-3.4924597e-09	1.8626451e-09	-0.66018367	-4.9994087e-10	-4.999447e-10	0
1.0002638562152943e-10	3.7252903e-09	-7.450581e-09	-0.6602235	-4.9999044e-10	-5.000248e-10	0
1.1002146567830144e-10	-1.717126e-08	1.4901161e-08	-0.66026056	-5.0001336e-10	-5.0001336e-10	0
1.2001637380936747e-10	1.5366822e-08	1.8626451e-09	-0.66028583	-4.999981e-10	-5.0004767e-10	0
1.3001188269757412e-10	-8.614734e-09	-3.7252903e-09	-0.6602954	-4.999924e-10	-4.9998855e-10	0
1.4000800171597253e-10	2.5029294e-09	1.3038516e-08	-0.6602866	-5.000858e-10	-5.000763e-10	0
1.5000286181598784e-10	3.2014214e-09	7.450581e-09	-0.6602628	-5.0004195e-10	-5.0001336e-10	0
1.6004058606404424e-10	1.9383151e-08	-5.5879354e-09	-0.6602296	-4.999847e-10	-4.9993515e-10	0
1.7003252854255882e-10	3.434252e-09	-1.3038516e-08	-0.6601949	-4.999924e-10	-5.0000953e-10	0
1.8002483816326682e-10	-1.36788e-08	0	-0.6601668	-4.9995996e-10	-4.9995996e-10	0
1.9001724895474284e-10	-1.169974e-08	2.9802322e-08	-0.66015095	-4.99958e-10	-4.999523e-10	0
2.0001028669421667e-10	1.8335413e-08	3.7252903e-09	-0.6601505	-4.999466e-10	-4.9990273e-10	0
2.1000404449393757e-10	1.1059456e-09	-5.5879354e-09	-0.6601652	-4.9993515e-10	-4.9994275e-10	0
2.2004369565448822e-10	8.032657e-09	-9.313226e-09	-0.66019094	-5.0001714e-10	-5.0001525e-10	0
2.3003850592020676e-10	-9.313226e-09	3.7252903e-09	-0.66022146	-4.9997523e-10	-5.0000953e-10	0
2.4003296953199723e-10	5.8789738e-09	1.1175871e-08	-0.6602499	-4.9997523e-10	-4.9997523e-10	0
2.500268546740288e-10	1.1641532e-09	1.8626451e-09	-0.6602697	-5.001259e-10	-5.0009535e-10	0
2.6002035215511347e-10	1.3969839e-09	7.450581e-09	-0.66027707	-5.0000953e-10	-5.0000765e-10	0
2.7001319024281605e-10	1.0652002e-08	7.450581e-09	-0.6602707	-5.0004195e-10	-5.000591e-10	0
2.8000614111146627e-10	-5.2386895e-10	-1.4901161e-08	-0.6602526	-4.99958e-10	-4.9996185e-10	0
2.900445609507455e-10	-8.731149e-09	5.5879354e-09	-0.6602272	-5.000038e-10	-4.9999044e-10	0
3.0003784304791977e-10	8.556526e-09	7.450581e-09	-0.6602005	-5.0001714e-10	-5.0001714e-10	0
3.10031406496802e-10	4.307367e-09	-9.313226e-09	-0.6601789	-4.99939e-10	-4.9996374e-10	0
3.200254358840316e-10	8.8475645e-09	0	-0.6601665	-4.9995996e-10	-4.9993704e-10	0
3.3001958239089536e-10	-8.3236955e-09	-1.3038516e-08	-0.660166	-4.9994087e-10	-4.9996185e-10	0
3.400137209040749e-10	-1.3504177e-08	3.3527613e-08	-0.660177	-4.999466e-10	-4.9999427e-10	0
3.5000751668360165e-10	2.3748726e-08	0	-0.6601966	-5.000057e-10	-5e-10	0
3.6000114696663e-10	-1.0593794e-08	-7.450581e-09	-0.66021997	-5.0000953e-10	-5.0000193e-10	0
