# t (s)	mx ()	my ()	mz ()	E_total (J)	L ()
0	-1.8253922e-06	7.9884194e-07	-0.4100881	113.9922	8
0	-1.2852252e-06	4.5186607e-07	-0.40382615	114.98764	8.05
0	-8.791685e-07	2.4872134e-07	-0.39705205	115.97691	8.1
0	-5.438924e-07	1.2275996e-07	-0.3903182	116.96015	8.15
0	-3.799796e-07	6.216578e-08	-0.38397798	117.937454	8.2
0	-2.5704503e-07	2.81143e-08	-0.37766737	118.908936	8.25
0	-1.6391277e-07	9.313226e-09	-0.37139443	119.87463	8.3
0	-1.1920929e-07	1.3969839e-09	-0.3654864	120.83471	8.35
0	-8.940697e-08	-4.7148205e-09	-0.35960656	121.78917	8.4
0	-8.940697e-08	-4.2491592e-09	-0.3538555	122.73816	8.45
0	-6.7055225e-08	-8.8475645e-09	-0.34822994	123.681694	8.5
0	-4.4703484e-08	-8.614734e-09	-0.342623	124.61987	8.55
0	-1.4901161e-08	-8.8475645e-09	-0.33735532	125.55273	8.6
0	-4.4703484e-08	-1.1234079e-08	-0.3320883	126.48034	8.65
0	-1.4901161e-08	-9.19681e-09	-0.32694525	127.40279	8.7
0	-2.9802322e-08	-7.2759576e-09	-0.3217953	128.32004	8.75
0	-1.4901161e-08	-8.614734e-09	-0.31696743	129.23224	8.8
0	-1.4901161e-08	-8.090865e-09	-0.3121339	130.1394	8.85
0	-1.4901161e-08	-7.508788e-09	-0.3074043	131.04152	8.9
0	-1.4901161e-08	-7.2759576e-09	-0.30276355	131.93872	8.95
