# t (s)	mx ()	my ()	mz ()
0	0.9672134	0.12481581	0
1.1236544429773134e-11	0.9637116	0.13667415	-0.013982843
2.103887757661679e-11	0.9544869	0.16499381	-0.025517775
3.09003191321804e-11	0.9379716	0.2083696	-0.0362286
4.032334839706204e-11	0.91386735	0.26120564	-0.04537029
5.0778006832327735e-11	0.87612313	0.32918736	-0.054060034
6.105980859976133e-11	0.82684773	0.4016218	-0.06115191
7.011250487414176e-11	0.7732223	0.466921	-0.06648263
8.027493006492131e-11	0.70142794	0.53897655	-0.072008364
9.046035501237241e-11	0.6166496	0.6070328	-0.07784452
1.0065888254272082e-10	0.5176539	0.6677955	-0.084946185
1.1087277612302973e-10	0.4024095	0.71686995	-0.09431132
1.2112660980790025e-10	0.26873827	0.7477195	-0.106619924
1.3023437358820222e-10	0.13525292	0.7527963	-0.119647585
1.4044955981034289e-10	-0.026938772	0.7266693	-0.13496064
1.5062508405643309e-10	-0.19452892	0.6641843	-0.14885363
1.607937473274267e-10	-0.35997656	0.5663373	-0.15992737
1.7098188880322982e-10	-0.5144237	0.43570015	-0.16727029
1.8005569319301147e-10	-0.6339915	0.29620853	-0.16953298
1.9028081772736242e-10	-0.74232596	0.119878404	-0.16566774
2.0052964792053313e-10	-0.81832695	-0.06985913	-0.15311396
2.107784517832624e-10	-0.85259295	-0.25832736	-0.1294136
2.2098540714493313e-10	-0.8356005	-0.41395158	-0.092923865
2.3000822093213496e-10	-0.7860699	-0.4888956	-0.053555455
2.4011056490161875e-10	-0.7254767	-0.48720565	-0.012346155
2.5018968664937093e-10	-0.68258303	-0.41605997	0.019945687
2.602784362612406e-10	-0.66070384	-0.30773085	0.042951223
2.7038606937513076e-10	-0.655289	-0.19499902	0.05667091
2.80481276760529e-10	-0.6628179	-0.10466627	0.063254096
2.9048655819768757e-10	-0.6874801	-0.044765484	0.06683379
3.004428448700097e-10	-0.74485743	-0.008172906	0.0700055
3.103909851280941e-10	-0.83188516	0.026227506	0.07360742
3.203118717386015e-10	-0.9137615	0.09091559	0.07683424
3.3024372554118585e-10	-0.9312536	0.1873708	0.073880605
3.401871561467803e-10	-0.86378074	0.26193535	0.0630682
3.5011407507042766e-10	-0.77076095	0.29116273	0.049306665
3.600210666133551e-10	-0.7037073	0.30145764	0.035590462
3.710141212399933e-10	-0.6769879	0.31895822	0.020297822
3.809040939077853e-10	-0.6888326	0.34996733	0.0051016263
3.908069520316183e-10	-0.72670454	0.38784218	-0.012154714
4.007389341724946e-10	-0.7830052	0.4068599	-0.031640474
4.1066191242969755e-10	-0.84315115	0.38166532	-0.05203664
4.2057010665804417e-10	-0.89236975	0.30890265	-0.06996632
