#               time       E_Anisotropy              E_DMI            E_Demag  E_UniformExchange            E_total                m_x                m_y                m_z            m_error          real_time          rhs_evals               step 
#                <s>                <J>                <J>                <J>                <J>                <J>                 <>                 <>                 <>                 <>                <s>                 <>                 <> 
               1e-11  5.62804779355e-18 -7.45309610669e-18  3.77509976669e-18  7.83342128019e-18  9.78347273374e-18  1.92438657602e-17  4.27127469196e-18    0.0215159263932  9.67762124882e-08      1678581331.94                662                  1 
               2e-11   5.0431069589e-18 -6.92776804001e-18  4.26098026423e-18  5.12949594371e-18  7.50581512682e-18  5.42467305643e-17 -1.78869265078e-18    -0.055512780302  9.83481162065e-08      1678581334.65               1059                  2 
               3e-11  4.69449978429e-18 -6.73869415375e-18  4.66685140811e-18  3.78654136796e-18  6.40919840661e-18 -3.42318765926e-17 -3.75008666096e-17    -0.202941439915   1.3033100158e-06      1678581337.57               1469                  3 
               4e-11  4.91943278203e-18 -7.28496313957e-18  4.46341417213e-18  3.83161407897e-18  5.92949789357e-18  3.09628865757e-17 -3.52380162087e-17    -0.252441674555  1.77471082385e-07      1678581339.14               1743                  4 
               5e-11   5.1480096981e-18 -8.61797192359e-18  4.10517811926e-18  4.93918486618e-18  5.57440075995e-18 -4.11707704965e-17 -4.98675175227e-17    -0.221368135257  5.93629180257e-08      1678581340.28               1940                  5 
               6e-11  5.24123165561e-18 -1.05894995162e-17  3.72357724701e-18  6.85106473793e-18  5.22637412438e-18  -2.9451749681e-17  -1.2952601954e-18    -0.106101019051  7.87162013349e-09      1678581340.94               2050                  6 
               7e-11  4.57392567081e-18 -1.21601056953e-17  4.16593329504e-18  8.42349086509e-18  5.00324413563e-18 -7.22107558933e-17  4.47173162696e-19    0.0589116212253  1.16297693697e-09      1678581341.49               2145                  7 
               8e-11  4.35095571924e-18 -1.25954291966e-17  4.33794305905e-18  8.79334753145e-18  4.88681711315e-18 -2.30332728199e-17 -2.90007215773e-17     0.036586515122  4.73429784265e-09      1678581342.16               2298                  8 
               9e-11  4.96756754323e-18 -1.09602908225e-17  3.86523068643e-18  6.88979275972e-18   4.7623001669e-18 -6.45471330706e-17 -7.87178963988e-18   -0.0175224620023  2.82292611509e-09      1678581342.81               2465                  9 
               1e-10  5.17921972535e-18 -1.00142349118e-17  3.77239786447e-18  5.70005056844e-18  4.63743324651e-18 -2.63677968348e-17 -1.17190208155e-18    -0.113327612113  5.16258369387e-10      1678581343.42               2596                 10 
             1.1e-10  5.19954812128e-18 -9.45807344654e-18  3.81912451431e-18  4.97075953419e-18  4.53135872323e-18 -1.75507756476e-16 -2.08783607686e-17    -0.136835437195  2.89836632472e-08      1678581344.29               2724                 11 
             1.2e-10  5.07058742968e-18 -9.21579254113e-18   3.9603757458e-18  4.64303848325e-18   4.4582091176e-18 -1.17190208155e-17 -6.19334830334e-17    -0.106601291607  1.05675719286e-08      1678581345.13               2901                 12 
             1.3e-10  5.06619651467e-18 -9.29129176937e-18  3.92317268964e-18   4.7210233021e-18  4.41910073704e-18 -2.38081159725e-17 -3.32912709745e-17   -0.0667543281403  1.29592157005e-08      1678581345.81               3085                 13 
             1.4e-10  4.90544934693e-18 -9.50055975087e-18  4.03308100942e-18   4.9545423104e-18  4.39251291588e-18 -3.73004096746e-17  7.11699218077e-17   -0.0379008018299  1.14814192598e-08      1678581346.44               3236                 14 
             1.5e-10  4.87458762006e-18 -9.73038383517e-18  4.02687577887e-18  5.18068569294e-18   4.3517652567e-18 -5.57424476947e-17  1.81953217925e-17   -0.0167957564632  7.77890718506e-09      1678581347.11               3397                 15 
             1.6e-10   4.6865361302e-18 -1.02124805991e-17  4.16558690067e-18  5.66047721588e-18  4.30011964765e-18 -1.02233036851e-17  -5.2889791312e-18  -0.00230962545389  3.79926967664e-09      1678581347.79               3565                 16 
             1.7e-10  4.47981128654e-18 -1.07506563472e-17  4.32731563431e-18  6.20591929949e-18  4.26238987316e-18 -6.97455210869e-17  3.11787632749e-17     0.033610047609  5.68941049828e-09      1678581348.61               3721                 17 
             1.8e-10  4.27505425556e-18 -1.11677833761e-17  4.51597120682e-18  6.61760911642e-18   4.2408512027e-18  4.86956154412e-17 -2.26978929479e-17    0.0796919251449  7.07168990033e-10      1678581349.45               3862                 18 
             1.9e-10   4.1468213967e-18 -1.13884769278e-17  4.64382638249e-18  6.82603682063e-18  4.22820767199e-18 -9.19943134016e-17 -1.65531169019e-17    0.0996457172404  1.64491531507e-09      1678581350.09               4024                 19 
               2e-10   4.1944640554e-18 -1.11641971031e-17  4.60641645909e-18  6.58158625821e-18  4.21826966958e-18  7.98589589519e-17  3.38078330763e-18    0.0934944531607  1.60448210274e-10       1678581350.8               4198                 20 
             2.1e-10  4.36613390733e-18 -1.06955741686e-17  4.44957443423e-18    6.082316824e-18  4.20245099695e-18  4.42123189911e-17  1.38218911625e-17    0.0608962536631  6.98657798281e-11      1678581351.39               4299                 21 
             2.2e-10  4.52239820892e-18 -1.03161864567e-17  4.30960688837e-18  5.67060575694e-18  4.18642439757e-18 -6.58501031481e-17  1.49629537156e-17     0.018008026721  1.53229628985e-09      1678581352.01               4462                 22 
             2.3e-10  4.62019402476e-18 -1.00771692333e-17  4.22792132469e-18  5.40519273438e-18  4.17613885056e-18 -4.20265674113e-17 -1.72547161744e-17  -0.00459966254476  2.34206654071e-10      1678581352.96               4656                 23 
             2.4e-10  4.63808497002e-18 -1.00230821309e-17   4.2154267099e-18  5.33936450895e-18    4.169794058e-18  -2.4440326306e-18   2.5373222042e-17  -0.00427264440516  2.54191556692e-10      1678581354.15               4848                 24 
             2.5e-10  4.61248111968e-18 -1.01298920784e-17  4.23353492335e-18  5.44869204769e-18   4.1648160123e-18  2.57895556762e-17  1.21430643318e-17   0.00580683289343  3.24411608688e-10      1678581354.97               5042                 25 
             2.6e-10  4.59704551312e-18 -1.02960426664e-17  4.23672085191e-18  5.62070099756e-18  4.15842469619e-18 -2.52267342818e-17  2.30062882325e-17    0.0133303170419  4.45948389327e-10       1678581356.4               5236                 26 
             2.7e-10  4.59819183488e-18 -1.04774722817e-17  4.22197249728e-18  5.80662547273e-18  4.14931752323e-18 -9.28732399627e-17 -9.83395463826e-18    0.0124664926589  5.72356384509e-10      1678581357.42               5430                 27 
             2.8e-10  4.59629082467e-18 -1.06587595109e-17   4.2097522014e-18  5.99352875077e-18  4.14081226591e-18  8.08149843342e-17   4.9882937287e-18    0.0100884406182  3.69250408028e-10      1678581358.13               5624                 28 
             2.9e-10  4.58896562914e-18 -1.08022756103e-17  4.20652485384e-18  6.14220072549e-18  4.13541559821e-18  4.11707704965e-17 -2.47371567674e-17    0.0140554524714  2.41615172314e-10      1678581358.86               5818                 29 
               3e-10  4.58127438741e-18 -1.08843413475e-17  4.21012927871e-18  6.22449709872e-18  4.13155941738e-18 -8.17324603059e-17 -4.80711149898e-18    0.0187836950616   1.8633050658e-10      1678581359.56               6010                 30 
             3.1e-10   4.6132268097e-18 -1.08562789886e-17  4.18472611197e-18  6.18638208523e-18  4.12805601827e-18 -2.76090878554e-17  2.33243208698e-17    0.0147506137667  8.83100259585e-11      1678581360.28               6204                 31 
             3.2e-10  4.69544899166e-18 -1.07155379294e-17  4.12178522084e-18  6.02254930762e-18  4.12424559072e-18  5.41696317432e-17   3.0515713413e-17  -0.00163083306295  4.67972327556e-11      1678581361.03               6398                 32 
             3.3e-10  4.78073666259e-18 -1.05520814831e-17  4.06084209222e-18  5.83097654464e-18  4.12047381636e-18  1.75816151761e-16 -1.63719346722e-17   -0.0233956243841  4.57059945447e-11      1678581361.97               6592                 33 
             3.4e-10  4.83210097128e-18 -1.04440866749e-17  4.02811901207e-18  5.70186480821e-18  4.11799811662e-18 -1.39456347704e-16 -2.05718929546e-17   -0.0376331538218   3.6157743466e-11      1678581362.81               6786                 34 
             3.5e-10  4.84632124027e-18 -1.04225664471e-17  4.02035407477e-18  5.67259029563e-18  4.11669916354e-18 -1.40073138274e-16 -2.74320015006e-17   -0.0394270414774  7.49776907227e-11      1678581363.84               6980                 35 
             3.6e-10  4.83694666066e-18 -1.04734946028e-17   4.0255211119e-18  5.72684264039e-18  4.11581581013e-18 -9.10691275477e-17  3.96769808366e-18   -0.0344784182365  5.88697979254e-11      1678581364.79               7174                 36 
             3.7e-10  4.82343166034e-18 -1.05506650765e-17  4.03101475137e-18  5.81110988519e-18  4.11489122045e-18 -6.65208628921e-17  4.26838348617e-18   -0.0302708776286  7.93916044017e-11      1678581365.51               7366                 37 
             3.8e-10   4.8129437244e-18 -1.06253437795e-17  4.03361153592e-18  5.89257889234e-18  4.11379037311e-18 -1.79701932347e-16 -3.69014232751e-18   -0.0291414661234  9.30324706161e-11      1678581366.66               7560                 38 
             3.9e-10  4.80080007821e-18 -1.06903526227e-17  4.03830660801e-18  5.96417339162e-18  4.11292745514e-18 -2.81102301929e-17 -4.34259110153e-18   -0.0280083333112  5.27065058264e-11       1678581367.4               7754                 39 
