# t (s)	mx ()	my ()	mz ()	ext_bubbleposx (m)	ext_bubbleposy (m)	ext_bubbleposz (m)
0	2.4447218e-09	0	-0.66031694	-5.0000765e-10	-5.000038e-10	0
1.0019885578759771e-11	9.080395e-09	1.1175871e-08	-0.6603049	-4.999733e-10	-4.999924e-10	0
2.000493026190113e-11	7.858034e-09	-5.5879354e-09	-0.6602746	-5.000496e-10	-5.000381e-10	0
3.0043387604499505e-11	-9.662472e-09	-1.8626451e-09	-0.66023195	-4.9996757e-10	-4.9996374e-10	0
4.0041810306754104e-11	4.656613e-10	1.4901161e-08	-0.66018784	-4.99958e-10	-4.999847e-10	0
5.0041376806828533e-11	1.3387762e-08	-3.7252903e-09	-0.6601524	-4.999714e-10	-4.999466e-10	0
6.003731903030837e-11	-2.2118911e-09	3.7252903e-09	-0.6601325	-5.000248e-10	-4.999847e-10	0
7.003220794772345e-11	1.5948899e-08	-5.5879354e-09	-0.6601325	-4.9993704e-10	-5.0001525e-10	0
8.003485883786504e-11	-2.6193447e-09	-1.3038516e-08	-0.6601516	-4.999733e-10	-4.9992943e-10	0
9.00417385403958e-11	5.9371814e-09	1.1175871e-08	-0.66018444	-5.000267e-10	-4.9996945e-10	0
1.000379252155689e-10	2.2700988e-09	0	-0.66022336	-4.9999427e-10	-5.0002097e-10	0
1.1002450904668425e-10	4.307367e-09	1.8626451e-09	-0.6602595	-4.999981e-10	-5.000038e-10	0
1.2000781908166185e-10	7.625204e-09	1.8626451e-09	-0.6602843	-4.999981e-10	-5.000324e-10	0
1.3004139546866147e-10	7.799827e-09	-1.8626451e-08	-0.6602936	-4.9998855e-10	-4.9998283e-10	0
1.400343262570854e-10	-1.2165401e-08	1.1175871e-08	-0.6602849	-5.0003435e-10	-4.9999427e-10	0
1.500284627928025e-10	5.7625584e-09	3.7252903e-09	-0.66026163	-4.999962e-10	-5.000038e-10	0
1.6002329283869103e-10	2.142042e-08	1.1175871e-08	-0.6602294	-5.0000193e-10	-4.9996185e-10	0
1.7001980971919765e-10	8.1490725e-10	-2.2351742e-08	-0.66019547	-4.99979e-10	-4.9999044e-10	0
1.8001756667303664e-10	-1.6589183e-08	1.3038516e-08	-0.660168	-4.9998095e-10	-4.9996185e-10	0
1.9001537785821606e-10	1.2805685e-09	2.7939677e-08	-0.6601525	-4.999485e-10	-4.9995613e-10	0
2.0000997379835752e-10	3.405148e-08	1.4901161e-08	-0.66015214	-4.99979e-10	-4.9994275e-10	0
2.1000122322263317e-10	1.36788e-08	-1.8626451e-08	-0.66016644	-4.9995424e-10	-4.999447e-10	0
2.2003674467404514e-10	-1.7229468e-08	-1.1175871e-08	-0.66019154	-5.000038e-10	-5.000324e-10	0
2.300274644302844e-10	-1.2048986e-08	3.3527613e-08	-0.66022134	-5e-10	-5.000057e-10	0
2.4001985766773574e-10	2.3283064e-08	1.6763806e-08	-0.660249	-4.999714e-10	-4.999657e-10	0
2.5001340409107116e-10	1.1234079e-08	-3.7252903e-09	-0.66026837	-5.0009347e-10	-5.0009347e-10	0
2.600075627058745e-10	-1.4551915e-09	-1.8626451e-09	-0.6602756	-5.0003623e-10	-5.000057e-10	0
2.700023146467124e-10	-1.0768417e-08	-7.450581e-09	-0.6602694	-5.0002097e-10	-5.000458e-10	0
2.800431132514245e-10	-1.0186341e-08	2.7939677e-08	-0.6602516	-4.9997523e-10	-4.999313e-10	0
2.900385997338882e-10	1.8451829e-08	3.7252903e-09	-0.660227	-4.9997523e-10	-4.999962e-10	0
3.000326208979413e-10	7.566996e-09	-5.5879354e-09	-0.660201	-5.000648e-10	-5.000038e-10	0
3.100258806015342e-10	-1.0652002e-08	-1.3038516e-08	-0.6601798	-4.999714e-10	-4.9998095e-10	0
3.20018107357577e-10	-1.3329554e-08	7.450581e-09	-0.6601677	-4.999447e-10	-4.9995613e-10	0
3.3001020333548375e-10	-1.094304e-08	2.2351742e-08	-0.6601672	-4.999237e-10	-4.9995424e-10	0
3.4000274442524755e-10	3.410969e-08	9.313226e-09	-0.66017795	-4.9995613e-10	-4.9998666e-10	0
3.500413503134937e-10	7.3341653e-09	-1.4901161e-08	-0.6601971	-4.999962e-10	-4.999714e-10	0
3.600349215683871e-10	-4.947651e-09	-1.8626451e-08	-0.66021985	-4.9999044e-10	-5.000267e-10	0
3.7002928650358185e-10	-2.9918738e-08	1.6763806e-08	-0.66024125	-4.9999044e-10	-4.999771e-10	0
3.8002374321125215e-10	1.5541445e-08	2.0489097e-08	-0.66025627	-4.999847e-10	-4.999523e-10	0
3.9001799105365993e-10	2.3806933e-08	-1.6763806e-08	-0.660262	-5.0001336e-10	-4.999733e-10	0
4.0001194663318016e-10	-1.169974e-08	-1.4901161e-08	-0.66025746	-4.99958e-10	-4.9995613e-10	0
4.100055534305059e-10	-1.0011718e-08	-7.450581e-09	-0.660244	-4.9996185e-10	-4.999466e-10	0
4.200436453586431e-10	-2.4447218e-09	2.4214387e-08	-0.6602251	-5.000057e-10	-4.999847e-10	0
4.3003656178894235e-10	1.3329554e-08	0	-0.6602052	-5.0004006e-10	-5.0003435e-10	0
4.4002973316073355e-10	-2.5029294e-09	-7.450581e-09	-0.66018873	-5e-10	-4.9999044e-10	0
4.500229818950362e-10	-9.95351e-09	5.5879354e-09	-0.6601794	-4.99939e-10	-4.9992754e-10	0
4.600166675990846e-10	7.683411e-09	-1.8626451e-09	-0.6601788	-4.9998283e-10	-4.999485e-10	0
4.700103859637468e-10	1.6880222e-09	7.450581e-09	-0.6601868	-4.9995613e-10	-4.99979e-10	0
4.800043112091753e-10	1.0069925e-08	0	-0.6602014	-5.000515e-10	-5.000267e-10	0
4.900434161588835e-10	-4.132744e-09	-3.7252903e-09	-0.66021895	-5e-10	-5e-10	0
5.000373534635874e-10	-1.0535587e-08	-3.7252903e-09	-0.6602353	-4.99979e-10	-4.9998855e-10	0
5.100308009397027e-10	-8.731149e-10	1.1175871e-08	-0.66024697	-4.99958e-10	-5.0001525e-10	0
5.200243104650978e-10	8.090865e-09	0	-0.6602515	-4.9996945e-10	-4.9998855e-10	0
5.300176590123061e-10	1.7054845e-08	3.7252903e-09	-0.66024816	-4.99979e-10	-4.9995424e-10	0
5.400110056638222e-10	3.5506673e-09	-1.1175871e-08	-0.660238	-5.000057e-10	-4.999714e-10	0
5.500044657376918e-10	-1.8626451e-09	-3.7252903e-09	-0.66022366	-5.0001336e-10	-5.0000953e-10	0
5.600431890395317e-10	-5.180482e-09	0	-0.6602083	-5.000267e-10	-5.000267e-10	0
5.700369265008058e-10	1.8044375e-09	-5.5879354e-09	-0.6601956	-5.0000953e-10	-4.999847e-10	0
5.800306101665048e-10	-2.0372681e-09	1.3038516e-08	-0.66018826	-4.999657e-10	-4.9998855e-10	0
5.900242050676368e-10	-1.9208528e-09	5.5879354e-09	-0.6601877	-5.0000953e-10	-4.9993515e-10	0
6.000180348518106e-10	2.3806933e-08	9.313226e-09	-0.66019374	-5e-10	-4.9999044e-10	0
6.100115237252472e-10	6.868504e-09	-1.8626451e-08	-0.66020477	-5.000324e-10	-4.9998666e-10	0
6.20004889191585e-10	-1.0535587e-08	-1.3038516e-08	-0.6602181	-5.000324e-10	-5.0000193e-10	0
6.300436562942173e-10	-1.4959369e-08	1.1175871e-08	-0.66023076	-4.9999427e-10	-4.9995613e-10	0
6.400371327653762e-10	3.3760443e-09	2.7939677e-08	-0.6602399	-4.999523e-10	-4.999657e-10	0
6.500306621349459e-10	3.032619e-08	0	-0.6602435	-4.999657e-10	-4.9996945e-10	0
6.600241662359507e-10	-2.73576e-09	-2.7939677e-08	-0.66024107	-5.0000765e-10	-4.999962e-10	0
6.700177440068455e-10	-5.0640665e-09	7.450581e-09	-0.6602334	-4.999847e-10	-4.999771e-10	0
6.800113153470822e-10	-1.6530976e-08	1.3038516e-08	-0.6602224	-5.0004006e-10	-4.999962e-10	0
6.90005020930099e-10	1.6763806e-08	2.0489097e-08	-0.6602107	-5.000591e-10	-5.0001525e-10	0
7.000437750164303e-10	1.717126e-08	-5.5879354e-09	-0.66020083	-5.0002097e-10	-4.9999044e-10	0
7.100375577233159e-10	-5.995389e-09	-7.450581e-09	-0.6601951	-4.9998666e-10	-4.9999044e-10	0
7.200309893827587e-10	-7.1595423e-09	2.4214387e-08	-0.6601945	-4.999924e-10	-4.99979e-10	0
7.300243203317757e-10	1.2340024e-08	1.8626451e-09	-0.66019905	-4.999981e-10	-5.0001525e-10	0
7.400178443262692e-10	7.683411e-09	-3.7252903e-09	-0.6602075	-4.9998095e-10	-4.9998283e-10	0
7.500113804871694e-10	3.1432137e-09	0	-0.66021776	-5.0001714e-10	-5.0001525e-10	0
7.600049274813082e-10	-8.789357e-09	1.8626451e-09	-0.6602274	-5.000038e-10	-4.999771e-10	0
7.70043558278175e-10	5.7625584e-09	2.0489097e-08	-0.66023445	-4.9996757e-10	-4.9996374e-10	0
7.800374158454541e-10	1.268927e-08	-3.7252903e-09	-0.66023725	-4.9999044e-10	-4.999847e-10	0
7.900309151377155e-10	2.4447218e-09	-5.5879354e-09	-0.6602355	-4.9999427e-10	-4.9999044e-10	0
8.000247100951432e-10	-1.9092113e-08	9.313226e-09	-0.66022974	-5e-10	-4.999847e-10	0
8.100181159576882e-10	2.1944288e-08	1.8626451e-08	-0.66022134	-5.000229e-10	-4.9999044e-10	0
8.200116944907562e-10	3.608875e-09	7.450581e-09	-0.6602124	-5.000801e-10	-4.999981e-10	0
8.300051850542826e-10	1.4610123e-08	0	-0.66020477	-5.000267e-10	-5.000229e-10	0
8.400440496369847e-10	-6.9849193e-09	-3.7252903e-09	-0.66020036	-5e-10	-5.0001714e-10	0
8.500376390085583e-10	-4.598405e-09	3.7252903e-09	-0.66019976	-5.0001336e-10	-5e-10	0
8.60031088670548e-10	3.1432137e-09	5.5879354e-09	-0.6602032	-5.0003435e-10	-5.0002097e-10	0
8.700248636419734e-10	1.5017577e-08	0	-0.66020954	-5.000229e-10	-4.999981e-10	0
8.800185110938983e-10	3.8999133e-09	-3.7252903e-09	-0.6602174	-5.0001714e-10	-4.999981e-10	0
8.900120870418181e-10	-1.5075784e-08	-5.5879354e-09	-0.660225	-5.0001714e-10	-5.000057e-10	0
9.000056991087452e-10	-5.122274e-09	2.4214387e-08	-0.6602303	-4.999447e-10	-5.000038e-10	0
9.100444173241616e-10	1.6007107e-08	1.8626451e-08	-0.66023266	-4.9999427e-10	-4.9999427e-10	0
9.200378269747956e-10	2.0838343e-08	-1.4901161e-08	-0.66023135	-4.999733e-10	-4.999466e-10	0
9.300313843992349e-10	-2.8521754e-09	-1.4901161e-08	-0.6602269	-5.000114e-10	-4.999924e-10	0
9.400250324540198e-10	-1.5832484e-08	-9.313226e-09	-0.6602205	-5.000381e-10	-4.999714e-10	0
9.500186301858182e-10	-1.2398232e-08	1.8626451e-08	-0.6602136	-5.000534e-10	-5.0001336e-10	0
9.600120077305108e-10	2.561137e-08	9.313226e-09	-0.66020775	-5.0003435e-10	-4.9998283e-10	0
9.700056897996195e-10	5.7043508e-09	-2.2351742e-08	-0.6602042	-5.0002863e-10	-5.000324e-10	0
9.8004439927367e-10	-1.6472768e-08	1.1175871e-08	-0.66020375	-5.0003623e-10	-5.000057e-10	0
9.900380946478815e-10	5.7625584e-09	7.450581e-09	-0.6602063	-4.9998666e-10	-5e-10	0
1e-09	6.2282197e-09	5.5879354e-09	-0.6602112	-5.0000193e-10	-5.000057e-10	0
